segment_id,emotion,valence,arousal,sentence_index,sentence_korean,endings_found,split,anger,disgust,fear,happiness,neutral,sadness,surprise
Sess19_script01_F012,anger,2.5,3.1,1,회사 다닐 때 했습니다.,습니다,val,0.5,0.1,0.0,0.0,0.4,0.0,0.0
Sess19_script01_F015,anger,2.3,3.9,1,u/ 지금 여기서 춤추고 노래 하라구요?,라구요,val,0.6,0.3,0.0,0.0,0.0,0.0,0.1
Sess19_script01_M017,happiness,3.7,3.7,1,l/ 아이 잘하시네요 아이 근데 목소리가 너무 작네 좀 더 크게.,네요 | 네,val,0.0,0.1,0.0,0.5,0.4,0.0,0.0
Sess19_script01_F017,anger,1.7,4.3,1,원래 면접을 이딴 식으로 봐요?,어요,val,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sess19_script01_M018,anger,2.1,3.3,1,아니 b/ 무슨 말을 그렇게 합니까 신성한 면접실에서.,ᆸ니까,val,0.8,0.0,0.0,0.0,0.0,0.0,0.2
Sess19_script01_F018,anger,1.5,4.5,1,b/ 신성 좋아하고 있네.,네,val,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sess19_script01_F018,anger,1.5,4.5,2,이력서 한 줄 채우려고 내가 특기를 좀 과장되게 썼지만 그렇다고 이걸 이런 식으로 엮는 게 오히려 신성모독 아닌가?,ᆫ가,val,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sess19_script01_F018,anger,1.5,4.5,3,당신들 습관인 거 같은데 가뜩이나 취직 안 돼서 괴로워 죽겠는데 사람을 갖고 놀아?,어,val,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sess19_script01_F019,anger,1.5,4.9,1,아무리 약자라도 기본적이고 인간적인 대우를 해줘야 될 거 아니야.,야,val,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sess19_script01_F019,anger,1.5,4.9,2,시간 때우려고 니들 심심풀이 땅콩으로 채우려고 지원자 갖고 놀지 말라구.,라구,val,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sess19_script01_M019,anger,1.5,4.5,1,아니 나원 참 어이가 없어서.,어서,val,0.8,0.2,0.0,0.0,0.0,0.0,0.0
Sess19_script01_M019,anger,1.5,4.5,2,그럼 나가세요 당신 말고도 지원자 많아.,어,val,0.8,0.2,0.0,0.0,0.0,0.0,0.0
Sess19_script02_F007,sadness,2.2,1.9,1,당신 나 없이도 꿋꿋하게 애들 키우면서 살아야 돼.,어,val,0.0,0.0,0.0,0.0,0.4,0.6,0.0
